City,Latitude,Longitudes,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Date
Ambāgarh Chauki,20.78,80.72,76.86,85,100,9.8,IN,1600698620
Merowe,18.48,31.82,105.26,14,42,29.73,SD,1600698620
Aklavik,68.22,-135.01,33.8,96,90,10.51,CA,1600698620
Manavālakurichi,8.13,77.3,80.6,94,90,5.01,IN,1600698621
Ca Mau,9.18,105.15,79.5,88,100,4.16,VN,1600698621
Nizwá,22.93,57.53,92.98,11,0,12.86,OM,1600698621
Kedrovyy,56.17,91.82,50.0,87,67,9.06,RU,1600698621
Lebu,-37.62,-73.65,53.28,78,100,28.36,CL,1600698622
Dunedin,-45.87,170.5,52.0,64,0,4.45,NZ,1600698606
Eureka,40.8,-124.16,57.0,94,5,2.26,US,1600698516
Kayanga,-1.53,31.15,75.15,53,83,13.6,TZ,1600698622
Ribeira Grande,38.52,-28.7,73.4,64,20,38.52,PT,1600698622
Mehamn,71.04,27.85,42.8,81,75,51.54,NO,1600698623
Ponta do Sol,17.2,-25.09,86.0,66,40,15.5,CV,1600698623
Kokkola,63.84,23.13,55.4,76,100,41.03,FI,1600698623
Nome,64.5,-165.41,41.0,80,90,15.5,US,1600698623
Anadyr,64.75,177.48,39.2,86,40,21.97,RU,1600698624
Copiapó,-27.37,-70.33,57.2,71,20,7.52,CL,1600698624
Abéché,13.83,20.83,91.4,30,20,12.5,TD,1600698624
Quijingue,-10.75,-39.21,90.32,35,64,14.16,BR,1600698624
George Town,19.29,-81.37,87.8,74,20,17.6,KY,1600698488
Castro,-42.47,-73.77,48.99,88,90,2.26,CL,1600698625
Tūkrah,32.53,20.58,79.3,57,12,24.92,LY,1600698625
Huarmey,-10.07,-78.15,66.31,74,83,18.61,PE,1600698625
Bambous Virieux,-20.34,57.76,73.4,69,40,28.52,MU,1600698625
Klaksvík,62.23,-6.59,51.8,71,99,23.02,FO,1600698625
Vila do Maio,15.13,-23.22,84.2,79,40,28.52,CV,1600698626
Mersing,2.43,103.84,75.2,100,100,7.52,MY,1600698585
Olinda,-8.01,-34.86,84.2,66,40,25.52,BR,1600698621
Abu Dhabi,24.47,54.37,93.2,63,0,25.52,AE,1600698570
La Romana,18.43,-68.97,86.0,70,40,7.52,DO,1600698366
Zeya,53.75,127.27,46.22,69,100,5.5,RU,1600698626
Pithorāgarh,29.58,80.22,65.95,95,0,4.16,IN,1600698627
Hofn,64.25,-15.21,48.2,66,40,46.53,IS,1600698627
State College,40.79,-77.86,54.0,61,5,10.11,US,1600698507
Lázaro Cárdenas,17.96,-102.2,81.25,74,16,8.75,MX,1600698627
Karacaköy,41.4,28.38,75.2,64,75,46.53,TR,1600698628
Manta,-0.95,-80.73,73.4,88,75,7.52,EC,1600698628
Villagarzón,1.04,-76.63,85.71,46,65,7.65,CO,1600698628
San Policarpo,12.18,125.51,81.0,85,100,17.47,PH,1600698628
Reconquista,-29.15,-59.65,64.8,34,0,17.52,AR,1600698629
Kabo,7.7,18.63,83.48,75,7,12.71,CF,1600698629
Tomatlán,19.93,-105.25,82.08,73,2,4.36,MX,1600698629
Yangliuqing,39.14,117.0,66.2,82,4,13.71,CN,1600698629
Korba,22.35,82.68,78.31,86,100,2.35,IN,1600698629
Tsogni,-2.79,10.1,77.13,72,29,21.52,GA,1600698630
Kamaishi,39.27,141.88,63.12,74,66,11.21,JP,1600698630
Provideniya,64.38,-173.3,35.29,85,66,20.11,RU,1600698630
Kieta,-6.22,155.63,79.0,76,99,2.46,PG,1600698630
Swan Hill,-35.34,143.55,50.97,64,7,18.97,AU,1600698631
Bafra,41.57,35.91,71.6,68,75,10.51,TR,1600698631
Praia,14.92,-23.51,84.2,79,40,28.52,CV,1600698631
La Palma,8.4,-78.15,83.35,74,99,6.76,PA,1600698631
Plettenberg Bay,-34.05,23.37,57.99,56,0,15.82,ZA,1600698632
Mackay,-21.15,149.2,71.6,94,75,10.51,AU,1600698632
Pochutla,15.74,-96.47,81.0,78,20,4.61,MX,1600698632
Ancud,-41.87,-73.82,48.99,88,98,2.26,CL,1600698633
Birao,10.28,22.79,82.24,83,75,10.36,CF,1600698633
Georgetown,-7.93,-14.42,73.36,75,55,36.82,SH,1600698633
Jamestown,-15.94,-5.72,61.36,86,93,50.09,SH,1600698633
Bosaso,11.28,49.18,91.4,75,20,13.02,SO,1600698634
Dikson,73.51,80.55,45.95,92,95,50.24,RU,1600698634
Havre-St-Pierre,50.23,-63.6,48.2,66,1,20.51,CA,1600698634
Morondava,-20.28,44.28,77.72,76,0,31.47,MG,1600698635
Ostrovnoy,68.05,39.51,44.46,76,67,28.07,RU,1600698635
General Roca,-39.03,-67.58,63.0,18,95,6.71,AR,1600698635
Egvekinot,66.32,-179.17,31.59,93,0,12.91,RU,1600698635
Horsham,-36.72,142.2,48.33,83,2,24.47,AU,1600698636
Inhambane,-23.86,35.38,84.0,74,20,23.02,MZ,1600698636
Lüderitz,-26.65,15.16,72.07,32,2,74.11,NA,1600698636
Frome,51.23,-2.32,77.0,58,0,5.1,GB,1600698636
Albany,-35.02,117.89,53.6,93,90,31.03,AU,1600698637
Linxia Chengguanzhen,35.6,103.21,56.48,74,99,3.6,CN,1600698637
Tāybād,34.74,60.78,69.24,29,0,53.73,IR,1600698637
Rypefjord,70.63,23.67,46.4,70,40,36.04,NO,1600698637
Oberndorf,48.29,8.57,75.99,63,22,5.7,DE,1600698638
Naantali,60.47,22.02,57.99,82,94,28.52,FI,1600698638
Porto Novo,17.02,-25.06,86.0,66,40,15.5,CV,1600698638
Lunenburg,44.38,-64.32,59.0,63,0,4.45,CA,1600698638
Victoria,-4.62,55.45,82.4,83,40,23.02,SC,1600698638
Verāval,20.9,70.37,80.82,88,100,20.56,IN,1600698639
Ahipara,-35.17,173.17,51.58,90,9,10.92,NZ,1600698639
Saint-François,16.25,-61.27,89.6,66,20,10.51,GP,1600698639
Hermanus,-34.42,19.23,68.0,46,0,8.95,ZA,1600698639
Ushuaia,-54.8,-68.3,42.8,75,75,13.31,AR,1600698640
Geraldton,-28.77,114.6,48.2,87,0,15.5,AU,1600698640
Vung Tau,10.35,107.08,82.35,82,100,21.92,VN,1600698640
Harper,4.38,-7.72,78.24,83,85,29.08,LR,1600698640
Kruisfontein,-34.0,24.73,64.99,44,0,22.37,ZA,1600698640
Mongo,12.18,18.69,87.91,52,22,22.01,TD,1600698641
Broken Hill,-31.95,141.43,59.0,44,0,31.03,AU,1600698641
Turaif,31.67,38.66,102.2,14,6,15.5,SA,1600698641
Ligayan,4.65,119.47,84.52,72,10,13.35,PH,1600698641
The Valley,18.22,-63.06,89.6,70,20,20.51,AI,1600698538
Ballina,-28.87,153.57,71.6,83,4,33.53,AU,1600698642
Chapais,49.78,-74.85,50.0,66,90,25.52,CA,1600698642
Berbera,10.44,45.01,92.71,50,86,5.55,SO,1600698642
Bengkulu,-3.8,102.27,75.22,93,100,11.56,ID,1600698642
Port Hedland,-20.32,118.57,68.0,72,0,18.01,AU,1600698642
Bodden Town,19.28,-81.25,87.8,74,20,18.12,KY,1600698643
Harbour Breton,47.48,-55.8,54.0,100,52,11.21,CA,1600698643
Aden,12.78,45.04,90.79,64,46,18.92,YE,1600698439
Rock Sound,24.9,-76.2,83.37,77,49,34.07,BS,1600698643
Alberton,-26.25,28.13,82.0,34,80,18.86,ZA,1600698643
Soe,-9.86,124.28,66.47,99,100,8.16,ID,1600698644
Wewak,-3.55,143.63,80.02,83,15,15.66,PG,1600698644
Tuatapere,-46.13,167.68,53.01,66,99,22.37,NZ,1600698644
Vezirköprü,41.14,35.45,69.8,46,75,46.53,TR,1600698644
Karasuk,53.74,78.04,56.01,48,96,24.27,RU,1600698645
Bathsheba,13.22,-59.52,89.6,70,40,23.02,BB,1600698645
Kavaratti,10.57,72.64,82.04,78,100,54.58,IN,1600698645
Ranot,7.78,100.32,83.55,76,100,15.05,TH,1600698645
Shymkent,42.3,69.6,64.4,32,40,5.01,KZ,1600698645
Matam,15.62,-13.33,87.98,55,83,14.56,SN,1600698646
Acapulco de Juárez,16.86,-99.89,80.6,74,5,10.51,MX,1600698646
Hilo,19.73,-155.09,73.4,64,90,6.46,US,1600698646
Giresun Province,40.5,38.5,71.6,100,75,25.52,TR,1600698646
Enumclaw,47.2,-121.99,52.0,96,100,4.36,US,1600698647
Storforshei,66.4,14.52,44.01,77,100,54.69,NO,1600698647
Acaraú,-2.89,-40.12,82.83,63,100,39.53,BR,1600698609
Hīt,33.64,42.83,96.19,12,0,19.01,IQ,1600698647
Tongliao,43.61,122.27,58.93,77,90,28.27,CN,1600698647
Eyl,7.98,49.82,77.97,74,98,53.93,SO,1600698648
Fairbanks,64.84,-147.72,35.01,90,40,7.52,US,1600698399
Namatanai,-3.67,152.43,78.96,80,2,15.26,PG,1600698648
Jumla,29.27,82.18,60.17,69,7,6.67,NP,1600698648
Husainābād,24.53,84.02,80.78,85,84,11.9,IN,1600698649
Beaumont,30.09,-94.1,71.6,94,90,31.03,US,1600698597
Agadez,19.75,10.25,99.61,9,0,13.71,NE,1600698649
Douentza,15.0,-2.95,101.71,22,0,21.56,ML,1600698649
Pisco,-13.7,-76.22,62.01,87,90,10.51,PE,1600698649
Lashio,22.93,97.75,70.61,97,100,4.09,MM,1600698650
Syamzha,60.02,41.06,47.62,83,100,17.31,RU,1600698650
Arrondissement de Vichy,46.25,3.58,71.01,77,55,20.51,FR,1600698650
Westport,53.8,-9.52,59.0,76,63,11.21,IE,1600698650
Tessalit,20.2,1.01,104.7,8,0,22.37,ML,1600698650
Sibolga,1.74,98.78,79.83,82,100,5.95,ID,1600698651
Ukiah,39.15,-123.21,55.0,81,1,3.6,US,1600698651
Oranjemund,-28.55,16.43,61.09,61,0,55.99,NA,1600698651
Torbay,47.67,-52.73,55.0,56,75,36.04,CA,1600698599
Belawan,3.78,98.68,79.03,84,81,13.02,ID,1600698651
Upernavik,72.79,-56.15,29.35,92,100,12.86,GL,1600698652
Finnsnes,69.23,17.98,48.2,70,40,25.52,NO,1600698652
Seymchan,62.88,152.43,26.58,95,0,4.36,RU,1600698652
Severo-Kuril'sk,50.68,156.12,48.79,76,100,10.96,RU,1600698652
Waipawa,-41.41,175.52,55.4,82,0,51.54,NZ,1600698653
San Cristobal,-0.9,-89.62,67.23,88,100,23.67,EC,1600698653
Sinnamary,5.38,-52.95,85.71,68,22,20.51,GF,1600698653
Kashgar,39.45,75.98,68.0,37,0,5.01,CN,1600698469
Annemasse,46.19,6.24,71.6,64,20,10.51,FR,1600698653
Atuona,-9.8,-139.03,78.8,71,4,45.88,PF,1600698654
Yunyang,33.45,112.71,58.41,91,100,10.36,CN,1600698654
Iqaluit,63.75,-68.51,33.8,95,90,7.52,CA,1600698392
Tamiahua,21.27,-97.45,78.39,75,8,8.86,MX,1600698654
Quelimane,-17.88,36.89,84.0,58,0,77.06,MZ,1600698655
Saint-Georges,3.9,-51.8,87.8,62,75,13.02,GF,1600698655
Altus,34.64,-99.33,62.6,93,40,14.2,US,1600698655
Hobyo,5.35,48.53,77.52,77,8,63.19,SO,1600698655
Laguna,-28.48,-48.78,60.04,47,0,20.96,BR,1600698655
Sisimiut,66.94,-53.67,32.77,94,100,16.06,GL,1600698656
Shache,38.42,77.24,65.17,26,0,21.81,CN,1600698656
Oodweyne,9.41,45.06,89.83,22,100,6.96,SO,1600698656
Buala,-8.14,159.59,80.33,78,12,11.97,SB,1600698656
Alofi,-19.06,-169.92,71.6,94,75,18.01,NU,1600698656
Djibouti,11.5,42.5,91.4,70,1,25.52,DJ,1600698657
Quesnel,53.0,-122.5,50.0,93,90,7.52,CA,1600698657
Chui,-33.7,-53.46,54.16,53,4,20.87,UY,1600698657
Baisha,26.52,110.93,70.25,88,100,5.01,CN,1600698657
Lavrentiya,65.58,-171.0,35.55,85,43,22.06,RU,1600698658
Krasnosel'kup,65.7,82.47,55.35,75,0,55.1,RU,1600698658
Dandong,40.13,124.39,54.73,81,0,3.51,CN,1600698658
Revda,56.8,59.93,39.2,86,40,20.02,RU,1600698658
Murud,18.33,72.97,80.31,87,100,2.06,IN,1600698659
Mahébourg,-20.41,57.7,73.4,69,40,28.52,MU,1600698659
Dicabisagan,17.08,122.42,79.92,81,38,8.9,PH,1600698659
Dombarovskiy,50.76,59.54,45.36,65,72,25.97,RU,1600698659
Half Moon Bay,37.46,-122.43,59.0,100,90,10.51,US,1600698517
Vitim,59.45,112.56,42.94,92,100,5.14,RU,1600698659
Vao,-22.67,167.48,69.51,77,12,41.34,NC,1600698660
Arnprior,45.43,-76.35,57.99,83,0,12.37,CA,1600698660
Fuengirola,36.54,-4.62,84.2,42,0,20.51,ES,1600698660
Maceió,-9.67,-35.74,82.4,69,75,33.53,BR,1600698661
Prosvet,55.57,65.08,39.33,83,100,23.06,RU,1600698661
Ribas do Rio Pardo,-20.44,-53.76,82.9,49,91,24.23,BR,1600698661
Ponta Delgada,37.73,-25.67,71.6,73,20,33.53,PT,1600698661
Bandarbeyla,9.49,50.81,78.01,76,7,67.31,SO,1600698662
Tulum,20.22,-87.47,86.0,74,40,7.52,MX,1600698636
Longyearbyen,78.22,15.64,39.2,69,75,41.03,SJ,1600698662
Chifeng,42.27,118.96,55.92,64,72,16.42,CN,1600698662
Ternate,0.8,127.4,81.36,77,53,7.96,ID,1600698614
Alta Floresta,-9.88,-56.09,77.0,83,90,5.01,BR,1600698662
Polunochnoye,60.87,60.42,35.29,86,83,13.31,RU,1600698663
Atambua,-9.11,124.89,73.94,88,100,7.65,ID,1600698663
Konispol,39.66,20.18,82.4,58,40,11.25,AL,1600698663
Margate,-30.86,30.37,64.63,58,7,49.23,ZA,1600698663
Turukhansk,65.82,87.98,50.14,84,81,36.17,RU,1600698664
Pacific Grove,36.62,-121.92,57.0,80,90,7.52,US,1600698480
Kita,13.03,-9.49,88.21,57,77,12.26,ML,1600698664
Hualmay,-11.1,-77.61,65.05,74,91,18.61,PE,1600698665
Zhangye,38.93,100.45,53.51,81,100,5.14,CN,1600698665
Ipameri,-17.72,-48.16,81.93,34,64,27.42,BR,1600698665
Marystown,47.17,-55.15,54.0,100,99,11.21,CA,1600698665
Pimenta Bueno,-11.67,-61.19,89.92,47,81,10.96,BR,1600698522
Kalabo,-14.97,22.68,99.39,9,0,19.82,ZM,1600698666
Muros,42.78,-9.06,73.99,85,1,31.32,ES,1600698666
Egersund,58.45,6.0,55.0,95,100,2.26,NO,1600698666
Dingle,52.14,-10.27,62.6,77,75,18.01,IE,1600698667
Korla,41.76,86.15,65.75,30,0,3.2,CN,1600698667
Moyale,3.52,39.05,80.49,36,70,26.26,ET,1600698667
Viedma,-40.81,-63.0,60.01,35,8,20.11,AR,1600698645
Te Anau,-45.42,167.72,44.73,84,71,16.51,NZ,1600698668
Senneterre,48.38,-77.23,55.4,66,20,23.02,CA,1600698668
Portland,-38.33,141.6,52.61,78,43,37.54,AU,1600698459
Pevek,69.7,170.31,36.75,85,81,26.87,RU,1600698668
Havelock,34.88,-76.9,66.99,68,1,31.03,US,1600698669
Praia da Vitória,38.73,-27.07,73.99,68,40,22.46,PT,1600698669
Przhevalskoye,55.51,31.85,57.16,82,96,12.95,RU,1600698669
Nísia Floresta,-6.09,-35.21,86.0,66,75,38.52,BR,1600698669
Mitchell,43.71,-98.03,62.6,72,20,18.01,US,1600698670
Camacha,33.08,-16.33,75.2,69,40,20.51,PT,1600698670
Manokwari,-0.87,134.08,79.93,75,12,6.8,ID,1600698670
Kapaa,22.08,-159.32,78.8,78,20,20.51,US,1600698670
Saint Paul Harbor,57.79,-152.41,50.0,87,90,41.03,US,1600698671
Dankov,53.25,39.16,59.0,44,32,35.03,RU,1600698671
Tevaitoa,-16.78,-151.5,78.58,78,45,47.29,PF,1600698671
Busselton,-33.65,115.33,55.99,77,38,23.06,AU,1600698671
Tual,-5.67,132.75,80.73,85,63,42.64,ID,1600698672
São Filipe,14.9,-24.5,80.22,79,100,7.36,CV,1600698672
Kloulklubed,7.04,134.26,78.8,88,75,13.02,PW,1600698672
Padang,-0.95,100.35,80.11,67,100,11.65,ID,1600698672
Coyhaique,-45.58,-72.07,50.0,61,17,10.51,CL,1600698672
Gunnedah,-30.98,150.25,66.2,82,76,25.52,AU,1600698673
Kasulu,-4.58,30.1,82.31,34,90,21.07,TZ,1600698673
Nikolskoye,59.7,30.79,59.0,62,40,20.02,RU,1600698673
Lenine,45.3,35.78,66.04,47,0,32.44,UA,1600698674
Kyra,49.58,111.98,42.1,81,100,5.66,RU,1600698674
Stanghelle,60.55,5.74,55.0,91,100,22.73,NO,1600698674
Novoagansk,61.94,76.66,52.54,84,79,16.75,RU,1600698674
Mount Gambier,-37.83,140.77,50.0,93,40,31.03,AU,1600698381
Esperance,-33.87,121.9,50.0,93,90,18.01,AU,1600698675
Mildura,-34.2,142.15,60.8,55,90,20.51,AU,1600698675
Okhotsk,59.38,143.3,45.66,76,0,14.36,RU,1600698675
Sikasso,10.92,-7.0,87.51,62,73,12.41,ML,1600698675
Collierville,35.04,-89.66,64.4,72,5,23.02,US,1600698503
Perry,37.25,-83.2,57.2,66,1,10.51,US,1600698676
Hambantota,6.12,81.12,75.2,100,75,2.51,LK,1600698676
Pimentel,-6.84,-79.93,60.8,87,90,20.51,PE,1600698677
Shakiso,5.75,38.92,66.92,77,82,4.09,ET,1600698677
Derzhavīnsk,51.1,66.32,46.51,75,75,35.88,KZ,1600698677
Eydhafushi,5.1,73.07,82.11,80,73,28.52,MV,1600698678
El Dovio,4.51,-76.24,73.4,88,75,2.1,CO,1600698678
Port Blair,11.67,92.75,81.73,83,100,26.42,IN,1600698678
Pangnirtung,66.15,-65.71,33.8,64,5,3.89,CA,1600698678
Severnoye,56.35,78.36,50.52,74,0,16.51,RU,1600698678
Saint-Philippe,-21.36,55.77,75.2,60,16,7.52,RE,1600698679
East London,-33.02,27.91,64.4,52,0,54.04,ZA,1600698679
Tynset,62.28,10.78,59.0,47,100,49.03,NO,1600698679
Alyangula,-13.85,136.42,73.4,88,0,6.11,AU,1600698680
Bugac,46.69,19.68,80.01,27,16,25.52,HU,1600698680
Ganzhou,28.82,115.43,64.18,92,100,9.26,CN,1600698680
Mossamedes,-15.2,12.15,69.8,77,90,25.52,AO,1600698680
Homer,59.64,-151.55,48.99,93,90,19.01,US,1600698680
Cabedelo,-6.98,-34.83,84.2,66,75,25.52,BR,1600698681
Tevriz,57.51,72.4,43.75,69,91,15.86,RU,1600698681
Wuwei,37.93,102.64,56.79,81,100,13.6,CN,1600698681
Charter Township of Clinton,42.59,-82.92,64.0,87,20,10.51,US,1600698584
Yichun,47.7,128.9,44.51,95,98,5.75,CN,1600698682
Los Llanos de Aridane,28.66,-17.92,80.6,65,20,25.52,ES,1600698414
Tokoroa,-38.23,175.87,50.0,91,29,1.1,NZ,1600698682
Naze,28.37,129.48,75.2,100,75,25.52,JP,1600698683
Commerce,34.0,-118.16,66.99,82,90,9.66,US,1600698584
Kavieng,-2.57,150.8,82.4,78,33,27.07,PG,1600698683
Ust-Nera,64.57,143.2,35.82,80,1,2.39,RU,1600698684
Yangjiang,21.85,111.97,80.38,82,100,8.37,CN,1600698684
Scottsbluff,41.87,-103.67,57.0,62,1,10.51,US,1600698685
Natal,-5.79,-35.21,86.0,66,75,38.52,BR,1600698685
